ticker,name,category,leverage,inverse,yahoo_ok,krx_advol_억
0226A0.KS,PLUS SK하이닉스샌디스크채권혼합50,채권/금리,1.0,False,False,34.7
0226D0.KS,FOCUS 금융반도체지주채권혼합50액티브,반도체,1.0,False,False,0.4
0226G0.KS,WON 피지컬AI TOP2플러스액티브,기타,1.0,False,False,1.4
0227K0.KS,RISE 미국우주위성통신,우주/방산,1.0,False,False,7.8
0228G0.KS,ACE 반도체Plus전략산업,반도체,1.0,False,False,81.8
069500.KS,KODEX 200,기타,1.0,False,True,18717.5
069660.KS,KIWOOM 200,기타,1.0,False,True,126.1
091160.KS,KODEX 반도체,반도체,1.0,False,True,1933.2
091170.KS,KODEX 은행,금융,1.0,False,True,79.8
091180.KS,KODEX 자동차,기타,1.0,False,True,154.1
091220.KS,TIGER 은행,금융,1.0,False,True,5.6
091230.KS,TIGER 반도체,반도체,1.0,False,True,297.7
099140.KS,KODEX 차이나H,기타,1.0,False,True,0.4
100910.KS,KIWOOM KRX100,기타,1.0,False,True,1.4
101280.KS,KODEX 일본TOPIX100,국가/신흥,1.0,False,True,1.8
102110.KS,TIGER 200,기타,1.0,False,True,9309.9
102780.KS,KODEX 삼성그룹,기타,1.0,False,True,196.2
102960.KS,KODEX 기계장비,기타,1.0,False,True,1.7
102970.KS,KODEX 증권,금융,1.0,False,True,155.0
104520.KS,KIWOOM 블루칩,기타,1.0,False,True,0.0
104530.KS,KIWOOM 코리아고배당,기타,1.0,False,True,2.5
105010.KS,TIGER 라틴35,기타,1.0,False,True,0.3
105190.KS,ACE 200,기타,1.0,False,True,497.1
105780.KS,RISE 5대그룹주,기타,1.0,False,True,2.8
108450.KS,ACE 삼성그룹섹터가중,기타,1.0,False,True,2.0
108590.KS,TREX 200,기타,1.0,False,True,0.1
114100.KS,RISE 국고채3년,기타,1.0,False,True,2.2
114260.KS,KODEX 국고채3년,기타,1.0,False,True,6.6
114460.KS,ACE 국고채3년,기타,1.0,False,True,0.1
114470.KS,KIWOOM 국고채3년,기타,1.0,False,True,1.4
114800.KS,KODEX 인버스,지수/광범위,1.0,True,True,10468.8
114820.KS,TIGER 국채3년,채권/금리,1.0,False,True,8.6
117460.KS,KODEX 에너지화학,원자재/에너지,1.0,False,True,6.3
117680.KS,KODEX 철강,원자재/에너지,1.0,False,True,9.0
117690.KS,TIGER 차이나항셍30,기타,1.0,False,True,0.2
117700.KS,KODEX 건설,기타,1.0,False,True,89.6
122090.KS,PLUS 코스피50,지수/광범위,1.0,False,True,34.1
122260.KS,KIWOOM 통안채1년,기타,1.0,False,True,4.4
122630.KS,KODEX 레버리지,지수/광범위,2.0,False,True,18648.1
123310.KS,TIGER 인버스,지수/광범위,1.0,True,True,56.9
123320.KS,TIGER 레버리지,지수/광범위,2.0,False,True,180.5
